State,x,y
Jammu And Kashmir,-112,218
Himachal Pradesh,-92,170
Uttarakhand,-57,140
Punjab,-119,145
Haryana,-110,115
Rajasthan,-149,67
Gujarat,-197,-7
Uttar Pradesh,-28,67
Madhya Pradesh,-65,-9
Bihar,56,42
Jharkhand,43,7
Maharashtra,-120,-77
Sikkim,106,83
West Bengal,97,-11
Arunachal Pradesh,211,98
Assam,184,57
Meghalaya,159,42
Tripura,161,5
Mizoram,182,2
Manipur,203,23
Nagaland,216,52
Chhattisgarh,-9,-27
Odisha,45,-49
Karnataka,-125,-163
Kerala,-108,-232
Tamil Nadu,-71,-217
Andhra Pradesh,-54,-157
Telangana,-68,-102
Goa,-148,-150
